"kind","category","id","label","type","options","notes"
"hidden_tag","死・自傷・喪失","IRREVERSIBLE_LOSS","取り返しのつかない喪失","","","hidden from result detail"
"hidden_tag","死・自傷・喪失","AFTEREFFECT","後遺症・不可逆変化","","","hidden from result detail"
"hidden_tag","精神・記憶・自己同一性","MIND_CONTROL","精神操作・洗脳","","","hidden from result detail"
"hidden_tag","精神・記憶・自己同一性","FORCED_ACTION_EMOTION","行動・感情の強制","","","hidden from result detail"
"hidden_tag","精神・記憶・自己同一性","MEMORY_LOSS_CHANGE","記憶喪失・記憶改変","","","hidden from result detail"
"hidden_tag","精神・記憶・自己同一性","MEMORY_REVEAL","記憶・過去の後出し開示","","","hidden from result detail"
"hidden_tag","精神・記憶・自己同一性","GASLIGHTING","ガスライティング","","","hidden from result detail"
"hidden_tag","精神・記憶・自己同一性","REALITY_COLLAPSE","現実認識の崩壊","","","hidden from result detail"
"hidden_tag","精神・記憶・自己同一性","IDENTITY_LOSS","自己同一性の喪失・人格変化","","","hidden from result detail"
"hidden_tag","精神・記憶・自己同一性","REAL_MENTAL_ILLNESS","実在の精神疾患","","","hidden from result detail"
"hidden_tag","虐待・差別・現実の社会問題","ABUSE_DV","虐待・DV","","","hidden from result detail"
"hidden_tag","虐待・差別・現実の社会問題","BULLYING_HARASSMENT","いじめ・ハラスメント","","","hidden from result detail"
"hidden_tag","虐待・差別・現実の社会問題","DISCRIMINATION","差別・偏見","","","hidden from result detail"
"hidden_tag","虐待・差別・現実の社会問題","POVERTY_EXPLOITATION","貧困・搾取","","","hidden from result detail"
"hidden_tag","虐待・差別・現実の社会問題","REAL_DISEASE_PANDEMIC","現実の病気・感染症","","","hidden from result detail"
"hidden_tag","虐待・差別・現実の社会問題","WAR_TERROR_DISASTER","戦争・テロ・災害","","","hidden from result detail"
"hidden_tag","虐待・差別・現実の社会問題","REAL_EVENT_ANALOGUE","実在事件を想起させる描写","","","hidden from result detail"
"hidden_tag","虐待・差別・現実の社会問題","POLITICS_SOCIAL_CONFLICT","政治・社会的対立","","","hidden from result detail"
"hidden_tag","生理的嫌悪・恐怖症","INSECTS_SPIDERS","虫・クモ","","","hidden from result detail"
"hidden_tag","生理的嫌悪・恐怖症","PARASITES","寄生生物","","","hidden from result detail"
"hidden_tag","生理的嫌悪・恐怖症","SNAKES_RATS","蛇・ネズミ","","","hidden from result detail"
"hidden_tag","生理的嫌悪・恐怖症","DOLLS_MANNEQUINS","人形・マネキン","","","hidden from result detail"
"hidden_tag","生理的嫌悪・恐怖症","WATER_DROWNING","深海・水中・溺水","","","hidden from result detail"
"hidden_tag","生理的嫌悪・恐怖症","CLOSED_DARK_HIGH","閉所・暗所・高所","","","hidden from result detail"
"hidden_tag","生理的嫌悪・恐怖症","VOMIT_EXCRETION","嘔吐・排泄物","","","hidden from result detail"
"hidden_tag","生理的嫌悪・恐怖症","FOOD_CONTAMINATION","異物混入・食事汚染","","","hidden from result detail"
"hidden_tag","宗教・神話・オカルト","REAL_RELIGION","実在宗教","","","hidden from result detail"
"hidden_tag","宗教・神話・オカルト","BLASPHEMY","宗教的冒涜","","","hidden from result detail"
"hidden_tag","宗教・神話・オカルト","OCCULT_RITUAL","儀式・呪術","","","hidden from result detail"
"hidden_tag","宗教・神話・オカルト","POSSESSION","憑依・乗っ取り","","","hidden from result detail"
"hidden_tag","宗教・神話・オカルト","COSMIC_HORROR","宇宙的恐怖・不可知の存在","","","hidden from result detail"
"hidden_tag","宗教・神話・オカルト","MONSTERS_ALIENS","異形生命・怪物","","","hidden from result detail"
"hidden_tag","宗教・神話・オカルト","MYTH_REINTERPRETATION","神話・信仰の独自解釈","","","hidden from result detail"
"hidden_tag","TRPG構造・PC/NPC・メタ","PVP_CONFLICT","PC間対立・PvP","","","hidden from result detail"
"hidden_tag","TRPG構造・PC/NPC・メタ","BETRAYAL_DECEPTION","裏切り・騙し合い","","","hidden from result detail"
"hidden_tag","TRPG構造・PC/NPC・メタ","PC_BACKSTORY_OVERRIDE","PC設定・過去への干渉","","","hidden from result detail"
"hidden_tag","TRPG構造・PC/NPC・メタ","PC_FORCED_CRIME_HARM","PCによる加害・犯罪の強制","","","hidden from result detail"
"hidden_tag","TRPG構造・PC/NPC・メタ","UNAVOIDABLE_NPC_DEATH","重要NPCの避けられない死","","","hidden from result detail"
"hidden_tag","TRPG構造・PC/NPC・メタ","NPC_BETRAYAL","重要NPCの裏切り","","","hidden from result detail"
"hidden_tag","TRPG構造・PC/NPC・メタ","META_PLAYER_INTERFERENCE","メタフィクション・PL視点干渉","","","hidden from result detail"
"hidden_tag","TRPG構造・PC/NPC・メタ","RAILROAD_SURPRISE","強い一本道・強制サプライズ","","","hidden from result detail"
"hidden_tag","TRPG構造・PC/NPC・メタ","SOURCE_WORK_EXISTS","原作となる別の作品がある","","","hidden from result detail"
